left_words	slider_words	right_words	question_type	trial	max_duration	min	max	default	triad_mix
dog,dog,dog,dog	pony,cat,cow,seagull	horse,horse,horse,horse	practice	1	100	0	100	50	50% type 1/50% type 3
donut,donut,donut,donut	orange,pancake,coffee,potato	apple,apple,apple,apple	practice	2	100	0	100	50	50% type 1/50% type 3
same	same	different	catch	3	10	0	100	50	50% type 1/50% type 3
yes	yes	no	catch	4	10	0	100	50	50% type 1/50% type 3
left	left	right	catch	5	10	0	100	50	50% type 1/50% type 3
left	right	right	catch	6	10	0	100	50	50% type 1/50% type 3
dress,dress,dress,dress	belt,coat,necklace,shirt	gloves,gloves,gloves,gloves	type1	7	10	0	100	50	50% type 1/50% type 3
use,use,use,use	allow,find,work,protect	make,make,make,make	type1	8	10	0	100	50	50% type 1/50% type 3
coat,coat,coat,coat	oven,pot,knife,dish	scissors,scissors,scissors,scissors	type3	9	10	0	100	50	50% type 1/50% type 3
couch,couch,couch,couch	cabinet,door,cushion,chair	toy,toy,toy,toy	type3	10	10	0	100	50	50% type 1/50% type 3
