experiment,condition,term,r4,r5,r6,triad_dist_mean,bin
exp1a,label,plants,rhododendron,boxwood,daylily,0.461970994,14
exp1a,label,vehicles,plane,boat,motorcycle,0.513903154,14
exp1a,label,animals,bear,elephant,walrus,0.457676541,14
exp1a,label,flowers,sunflower,dandelion,orchid,0.509736757,14
exp1a,label,appetizers,french fries,onion rings,pigs in a blanket,0.367755144,14
exp1a,label,games,blackjack,rummy,uno,0.380806196,14
exp1a,label,desserts,pudding,chocolate,ice cream,0.472413396,14
exp1a,label,toys,board games,tricycle,car,0.442126657,14
exp1a,label,food,pasta,corn,pie,0.465432604,14
exp1a,label,mammals,cat,pig,giraffe,0.413132334,14
exp1a,label,fruit,kiwi,lemon,lime,0.561653242,14
exp1a,label,vegetables,pumpkin,zucchini,tomato,0.543386585,14
exp1a,label,hobbies,singing,photography,scuba diving,0.389143103,14
exp1a,label,tools,test,kit,stone,0.425982785,14
exp1a,label,diseases,eczema,measles,blindness,0.501026843,14
exp1a,label,weapons,brass knuckles,flame thrower,grenade,0.500983406,14
exp1a,label,clothing,pants,hat,mittens,0.509915997,14
exp1a,label,pets,dove,parrot,chicken,0.432952179,14
exp1a,label,chores,washing car,feed the dog,clean the gutter,0.401897262,14
exp1a,label,furniture,coffee table,ottoman,loveseat,0.475355326,14
