experiment,condition,term,r4,r5,r6,triad_dist_mean,bin
exp1a,label,diseases,alzheimer's,pneumonia,heart disease,0.590617497,41
exp1a,label,desserts,pie,sorbet,yogurt,0.466081535,41
exp1a,label,clothing,pants,hat,mittens,0.509915997,41
exp1a,label,pets,ferret,gerbil,hamster,0.474047899,41
exp1a,label,tools,drill,shovel,rake,0.398782952,41
exp1a,label,mammals,cat,pig,giraffe,0.413132334,41
exp1a,label,games,call of duty,civilization,minecraft,0.405630818,41
exp1a,label,weapons,bayonet,lance,sabre,0.471777272,41
exp1a,label,furniture,tv,ottoman,bed,0.430407373,41
exp1a,label,food,steak,vegetables,milk,0.534652231,41
exp1a,label,animals,horse,tiger,panda,0.445194605,41
exp1a,label,toys,army men miniatures,action figures,automotive models,0.430499337,41
exp1a,label,plants,weed,moss,cactus,0.543539333,41
exp1a,label,fruit,mango,strawberry,grape,0.594944592,41
exp1a,label,flowers,carnation,orchid,sunflower,0.534394596,41
exp1a,label,vehicles,bicycle,plane,boat,0.513903154,41
exp1a,label,vegetables,beet,pea,cucumber,0.50392981,41
exp1a,label,hobbies,computer programs,puzzles,drawing,0.379509048,41
exp1a,label,chores,shopping,building,mowing,0.407142798,41
exp1a,label,appetizers,crackers,shrimp,cheese dip,0.389552287,41
