experiment,condition,term,r4,r5,r6,triad_dist_mean,bin
exp1a,label,toys,stuffed animal,tablet,play kitchen,0.494858686,9
exp1a,label,mammals,tiger,cheetah,panda,0.39840324,9
exp1a,label,games,monopoly,chess,checkers,0.470785458,9
exp1a,label,desserts,pie,jello,fudge,0.435811875,9
exp1a,label,furniture,recliner,tv stand,bookshelf,0.450373323,9
exp1a,label,tools,power drill,handsaw,jackhammer,0.436281189,9
exp1a,label,vehicles,semi truck,train,airplane,0.529044754,9
exp1a,label,fruit,apple,grape,blueberry,0.616501312,9
exp1a,label,pets,bird,hamster,guinea pig,0.461796221,9
exp1a,label,weapons,missile,sniper rifle,machine gun,0.543940986,9
exp1a,label,food,meatballs,salad,chocolate,0.466072188,9
exp1a,label,hobbies,knitting,crochet,photography,0.395179321,9
exp1a,label,vegetables,squash,zucchini,broccoli,0.571711562,9
exp1a,label,chores,washing,folding,paint,0.422068142,9
exp1a,label,plants,rose,morning glory,hibiscus,0.409117889,9
exp1a,label,clothing,shoes,cardigan,chinos,0.56613468,9
exp1a,label,flowers,hibiscus,forget-me-not,pansy,0.504272411,9
exp1a,label,appetizers,mahi mahi,shrimp cocktail,artichoke hearts,0.421473247,9
exp1a,label,diseases,coronavirus,diabetes,ebola,0.520487553,9
exp1a,label,animals,horse,tiger,panda,0.445194605,9
