experiment,condition,term,r4,r5,r6,triad_dist_mean,bin
exp1a,label,diseases,influenza,polio,tuberculosis,0.557217854,6
exp1a,label,food,rice,bread,apple,0.474531725,6
exp1a,label,furniture,tv,ottoman,bed,0.430407373,6
exp1a,label,animals,pig,sheep,cow,0.518162684,6
exp1a,label,pets,horse,pig,fox,0.442268086,6
exp1a,label,plants,grass,ivy,vines,0.493280727,6
exp1a,label,tools,pliers,axe,shovel,0.427157218,6
exp1a,label,fruit,mango,strawberry,grape,0.594944592,6
exp1a,label,games,golf,cricket,football,0.473958655,6
exp1a,label,hobbies,doing puzzles,picking up beach glass,surfing,0.383232453,6
exp1a,label,toys,remote control car,giggle balls,barbie,0.439264509,6
exp1a,label,vehicles,pickup truck,semi truck,bus,0.54767213,6
exp1a,label,flowers,sunflower,lily,jasmine,0.493226936,6
exp1a,label,desserts,apple pie,cookie,custard,0.463117849,6
exp1a,label,weapons,sword,rifle,cannon,0.526818445,6
exp1a,label,chores,vacuuming,windows,mowing,0.479371309,6
exp1a,label,appetizers,nachos,shrimp,flatbread,0.466719508,6
exp1a,label,clothing,scarf,vest,blouse,0.529904159,6
exp1a,label,vegetables,onion,garlic,zucchini,0.534165445,6
exp1a,label,mammals,lion,wolf,monkey,0.355082933,6
