experiment,condition,term,r4,r5,r6,triad_dist_mean,bin
exp1b,exemplar,furniture,armoire,coffee table,end table,0.489340209,52
exp1b,exemplar,animals,leopard,zebra,shark,0.386728094,52
exp1b,exemplar,plants,violet,rose,ivy,0.343503267,52
exp1b,exemplar,flowers,dahlia,sunflower,pansy,0.512718432,52
exp1b,exemplar,tools,saw,screw,wrench,0.372773968,52
exp1b,exemplar,food,indomie,sauce,sausage,0.467391397,52
exp1b,exemplar,hobbies,crochet,gluing,painting,0.303260407,52
exp1b,exemplar,mammals,elephant,deer,chimpanzee,0.447603611,52
exp1b,exemplar,weapons,scissors,hammer,trigger,0.388053761,52
exp1b,exemplar,toys,toy train,blocks,doll,0.577310097,52
exp1b,exemplar,appetizers,jalapeno poppers,pigs in a blanket,french fries,0.364434246,52
exp1b,exemplar,vegetables,broccoli,corn,spinach,0.58513855,52
exp1b,exemplar,chores,vacuuming,cleaning,laundry,0.546554119,52
exp1b,exemplar,pets,tortoise,bunny,snake,0.4026878,52
exp1b,exemplar,desserts,brownie,cookie,donuts,0.42580379,52
exp1b,exemplar,fruit,banana,apple,raspberry,0.615534112,52
exp1b,exemplar,vehicles,van,suv,semi truck,0.399025472,52
exp1b,exemplar,games,checkers,mafia,hide and seek,0.362763154,52
exp1b,exemplar,diseases,leukemia,cold,stomach virus,0.471257515,52
exp1b,exemplar,clothing,jeans,scarf,coat,0.56750843,52
