experiment,condition,term,r4,r5,r6,triad_dist_mean,bin
exp1a,label,tools,screwdriver,drill,level,0.39687079,5
exp1a,label,food,tomato,pasta,radish,0.448055807,5
exp1a,label,hobbies,walking,watching movies,writing,0.385513628,5
exp1a,label,chores,laundry,cooking,making the bed,0.451403179,5
exp1a,label,weapons,sling,grapeshot,flame thrower,0.448719188,5
exp1a,label,pets,fish,pig,turtle,0.463966618,5
exp1a,label,vehicles,jeep,tractor trailer,scooter,0.572013854,5
exp1a,label,flowers,daisy,bluebonnet,wild flower,0.527108645,5
exp1a,label,toys,video games,scooter,bicycle,0.464392739,5
exp1a,label,plants,weed,moss,cactus,0.543539333,5
exp1a,label,games,scene it?,mario,zelda,0.380185113,5
exp1a,label,diseases,covid-19,cold,cancer,0.498110517,5
exp1a,label,vegetables,broccoli,cauliflower,carrot,0.525015014,5
exp1a,label,mammals,elephant,tiger,monkey,0.391813378,5
exp1a,label,fruit,banana,cherry,watermelon,0.607333582,5
exp1a,label,animals,lion,bear,giraffe,0.471502912,5
exp1a,label,furniture,bed,dresser,bookshelf,0.47261861,5
exp1a,label,desserts,popsicle,frostee,chocolate,0.488382118,5
exp1a,label,appetizers,spread,dip,chips,0.31980434,5
exp1a,label,clothing,dress,jacket,tights,0.586981095,5
