experiment,condition,term,r4,r5,r6,triad_dist_mean,bin
exp1b,exemplar,toys,jacks,slinky,jump rope,0.354723568,27
exp1b,exemplar,furniture,seat,furniture,store,0.633354924,27
exp1b,exemplar,fruit,grape,pineapple,pear,0.622130292,27
exp1b,exemplar,clothing,shorts,nightwear,winter wear,0.537856288,27
exp1b,exemplar,hobbies,crochet,walking,watching tv,0.311431042,27
exp1b,exemplar,games,jump rope,tag,hide and seek,0.326588849,27
exp1b,exemplar,animals,giraffe,seal,dolphin,0.426676938,27
exp1b,exemplar,vehicles,motorcycle,scooter,bus,0.525870439,27
exp1b,exemplar,tools,impact wrench,breaker bar,allen key,0.405139269,27
exp1b,exemplar,diseases,diabetes,influenza,hepatitis,0.545555629,27
exp1b,exemplar,plants,daisy,tulip,evergreen,0.400217333,27
exp1b,exemplar,flowers,tulip,chrysanthemum,iris,0.498426893,27
exp1b,exemplar,weapons,katana,scimitar,sword,0.505385595,27
exp1b,exemplar,desserts,ice cream,cookie,baked alaska,0.443581913,27
exp1b,exemplar,mammals,monkey,seal,gorilla,0.327677996,27
exp1b,exemplar,food,spaghetti,steak,wings,0.437833105,27
exp1b,exemplar,appetizers,spinach dip,queso dip,pita chips,0.374196748,27
exp1b,exemplar,pets,rabbit,hamster,parrot,0.427793582,27
exp1b,exemplar,vegetables,peas,lettuce,onion,0.570698013,27
exp1b,exemplar,chores,clean windows,scrub floor,folding clothes,0.391695324,27
