experiment,condition,term,r4,r5,r6,triad_dist_mean,bin
exp1b,exemplar,furniture,stool,counter,bed stand,0.427611242,49
exp1b,exemplar,hobbies,crochet,reading,video games,0.356237506,49
exp1b,exemplar,vehicles,suv,van,camper,0.345295431,49
exp1b,exemplar,desserts,pie,crumble,cobbler,0.379776978,49
exp1b,exemplar,food,cereal,vegetables,beans,0.507907588,49
exp1b,exemplar,animals,elephant,hamster,goldfish,0.472780369,49
exp1b,exemplar,games,risk,dungeons and dragons,game of life,0.480340097,49
exp1b,exemplar,chores,vacuuming,wiping,mopping,0.43086696,49
exp1b,exemplar,pets,turtle,alligator,crocodile,0.383134947,49
exp1b,exemplar,vegetables,carrot,lettuce,onion,0.513827333,49
exp1b,exemplar,clothing,pants,dress,coat,0.619394763,49
exp1b,exemplar,appetizers,salsa,nachos,caviar,0.416938644,49
exp1b,exemplar,flowers,lavender,buttercup,tulip,0.518344422,49
exp1b,exemplar,weapons,sword,katana,nunchuks,0.513151578,49
exp1b,exemplar,plants,flowers,bread,milk,0.448974955,49
exp1b,exemplar,fruit,kiwi,plum,nectarine,0.556435871,49
exp1b,exemplar,toys,gi joe,ken doll,pokemon,0.255884133,49
exp1b,exemplar,tools,measuring tape,hammer,staple gun,0.438315637,49
exp1b,exemplar,mammals,bird,dolphin,goat,0.41064009,49
exp1b,exemplar,diseases,covid-19,fever,cold,0.409473267,49
