word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
alternate	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
badger	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bluff	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
calm	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
circus	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
constitute	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cut	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
disappoint	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
economy	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
facial	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
foam	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
glider	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
haystack	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
idle	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
juice	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
lizard	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
melt	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
my	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
orphanage	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
petal	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
premiere	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
random	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
revise	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
screenplay	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sincere	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
speeding	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
strung	Is the word 	...	iconicity	242	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
