word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
acidic	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
aquatic	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bee	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
breakout	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ceiling	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
collect	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
courtyard	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
delayed	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dominant	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
environment	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
feverish	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
freestyle	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
grimace	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hoax	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
insane	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
lateral	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
magnitude	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
missionary	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
note	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
paperboy	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
playmate	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
protein	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
refuge	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ruler	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sewing	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
smog	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
stammer	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sushi	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
thunderbolt	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ugly	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
wait	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
yearbook	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
arf	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
Breathalyzer	Is the word 	...	iconicity	66	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
