word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
admit	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
artillery	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
beware	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
broom	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
chant	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
commerce	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
create	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
deploy	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dramatic	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
even	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
finish	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fugitive	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
guiltless	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
horizon	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
interested	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
least	Is the word 	...	iconicity	113	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
