word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
amnesia	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ban	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bomb	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
candy	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
classmate	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
continued	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dandelion	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
discovery	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
elastic	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
faker	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
footage	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
go	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
headset	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
immobile	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
keeping	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
lodge	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
mercy	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
nasal	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
outline	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
picked	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pretext	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
rattled	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
riddle	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
seal	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sixth	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
spinning	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
stylish	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
terminal	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
tribal	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
verge	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
winter	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
altruism	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bifocal	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
Christmas	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cranium	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dirk	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
enigmatic	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
France	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hearse	Is the word 	...	iconicity	266	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
