word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
ankle	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
barrier	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
boring	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
carefree	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
clone	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
copyright	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dealt	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dispose	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
embryo	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fatal	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
forgive	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
grab	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
help	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
income	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
kiwi	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
lotus	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
midwife	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
negligible	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
overrun	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ping	Is the word 	...	iconicity	305	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
