word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
align	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
awful	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
blockade	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
buttons	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
choppy	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
congratulate	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cultural	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dignity	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
eagle	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
extinguisher	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
floppy	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
giant	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hardy	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hybrid	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
jet	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
linger	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
meantime	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
mundane	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
optics	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
perhaps	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
prance	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
rage	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
restrain	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
scoop	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sidestep	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
spare	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
street	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
teacup	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
train	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
vain	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
whirlpool	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
aesthetically	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bauble	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cerebellum	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
converge	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
despondent	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
elide	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fixer	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
guileful	Is the word 	...	iconicity	210	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
