word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
advancement	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
aspirin	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
big	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
brunette	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
charge	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
compact	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
creeping	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
designed	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dream	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
evict	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
firstborn	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
funny	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
gunpowder	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
horseback	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
intersect	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
legalize	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
manual	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
monstrous	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
oblivious	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
path	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
poll	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
purchase	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
remedy	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
same	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
shifty	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
soar	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
stereo	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
synonym	Is the word 	...	iconicity	126	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
