word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
adaptation	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
army	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
belly	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
brigade	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
certainty	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
combined	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cramp	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
demolish	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
doubtful	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
erupt	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
file	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
front	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
growing	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
homicide	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
intake	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
layering	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
malicious	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
moderate	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
null	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
part	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
plywood	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pub	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
reject	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sad	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
shameless	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sneaking	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
stated	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sweeten	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
timely	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
undergarment	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
warfare	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
zebra	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ashamed	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bub	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
competency	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
defang	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
divers	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
expendable	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
gimp	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
igloo	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
insanity	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
legendry	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
monogamous	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
Parmesan	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
prevalence	Is the word 	...	iconicity	91	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
