word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
albino	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
average	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
blinding	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
butch	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
chlorine	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
confidence	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cube	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dietary	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
duty	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
explorer	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
float	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
genre	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
happening	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hurricane	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
jazz	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
limestone	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
maximum	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
muffin	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
open	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pepper	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pound	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
radar	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
response	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
scent	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
shy	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
soy	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
strapping	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
taught	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
traction	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
utensil	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
whether	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
adorn	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
basically	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
causative	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
contraband	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
deserved	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
eh	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fillet	Is the word 	...	iconicity	198	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
