word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
advent	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
assailant	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bikini	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
brushed	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
chariot	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
company	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cremate	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
designing	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dreamless	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
evident	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fish	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
furious	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
gush	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
horsepower	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
interval	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
legendary	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
manuscript	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
monthly	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
obscene	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pathway	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pollutant	Is the word 	...	iconicity	128	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
