word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
achieve	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
aptitude	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bedside	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
breaker	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cavity	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
collarbone	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
courthouse	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
degrading	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
domestic	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
entry	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fetish	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
free	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
grieve	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hives	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
innovative	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
latch	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
magnificence	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
missile	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
notable	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
pants	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
playful	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
protection	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
refresh	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
rugged	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
sew	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
smelly	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
stall	Is the word 	...	iconicity	63	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
