word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
abiding	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
ant	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
basket	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
bottom	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
carpet	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
clouded	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cornered	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
debut	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
distaste	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
empty	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
fault	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
format	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
grand	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
herbal	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
indigo	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
knitting	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
loving	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
militant	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
net	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
overtone	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
piping	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
procreate	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
recharge	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
robust	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
self	Is the word 	...	iconicity	8	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
