word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7
algae	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
aware	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
blizzard	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
buttermilk	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
chomp	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
conform	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
cuisine	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dig	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
dynamic	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
extent	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
floodlight	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
get	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
hardly	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
husk	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
jeopardy	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
limp	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
meadow	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
multiplex	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
opium	Is the word 	...	iconicity	205	(1) Not iconic at all	(2)	(3)	(4)	(5)	(6)	(7) Very iconic
