stim,question_type,question,choice_1,choice_2,choice_3,choice_4,choice_5
dog.png,,How recognizable is this picture?,Very Unrecognizable,Unrecognizable,Neutral,Recognizable,Very Recognizable
square.png,,How recognizable is this picture?,Very Unrecognizable,Unrecognizable,Neutral,Recognizable,Very Recognizable
triangle.png,,How recognizable is this picture?,Very Unrecognizable,Unrecognizable,Neutral,Recognizable,Very Recognizable
dog.png,catch,How recognizable is this picture?,Very Unrecognizable,Unrecognizable,Neutral,Recognizable,Very Recognizable
