r1,r2,r3,sheet_num,term
yellow,hot,and,12,NA
yellow,disliked,and,12,NA
yellow,exciting,and,12,NA
yellow,stale,and,12,NA
yellow,heavy,and,12,NA
yellow,active,and,12,NA
yellow,soft,and,12,NA
yellow,dead,and,12,NA
yellow,dirty,and,12,NA
yellow,clean,and,12,NA
yellow,old,and,12,NA
yellow,submissive,and,12,NA
yellow,aggressive,and,12,NA
yellow,selfless,and,12,NA
yellow,liked,and,12,NA
yellow,unripe,and,12,NA
yellow,angry,and,12,NA
yellow,relaxed,and,12,NA
yellow,new,and,12,NA
yellow,slow,and,12,NA
yellow,fast,and,12,NA
yellow,jealous,and,12,NA
yellow,alive,and,12,NA
yellow,tense,and,12,NA
yellow,fresh,and,12,NA
yellow,hard,and,12,NA
yellow,sad,and,12,NA
yellow,light,and,12,NA
yellow,happy,and,12,NA
yellow,ripe,and,12,NA
yellow,cold,and,12,NA
yellow,dull,and,12,NA
yellow,passive,and,12,NA
yellow,calm,and,12,NA
brown,hot,and,12,NA
brown,disliked,and,12,NA
brown,exciting,and,12,NA
brown,stale,and,12,NA
brown,heavy,and,12,NA
brown,active,and,12,NA
brown,soft,and,12,NA
brown,dead,and,12,NA
brown,dirty,and,12,NA
brown,clean,and,12,NA
brown,old,and,12,NA
brown,submissive,and,12,NA
brown,aggressive,and,12,NA
brown,selfless,and,12,NA
brown,liked,and,12,NA
brown,unripe,and,12,NA
brown,angry,and,12,NA
brown,relaxed,and,12,NA
brown,new,and,12,NA
brown,slow,and,12,NA
brown,fast,and,12,NA
brown,jealous,and,12,NA
brown,alive,and,12,NA
brown,tense,and,12,NA
brown,fresh,and,12,NA
brown,hard,and,12,NA
brown,sad,and,12,NA
brown,light,and,12,NA
brown,happy,and,12,NA
brown,ripe,and,12,NA
brown,cold,and,12,NA
brown,dull,and,12,NA
brown,passive,and,12,NA
brown,calm,and,12,NA
red,hot,and,12,NA
red,disliked,and,12,NA
red,exciting,and,12,NA
red,stale,and,12,NA
red,heavy,and,12,NA
red,active,and,12,NA
red,soft,and,12,NA
red,dead,and,12,NA
red,dirty,and,12,NA
red,clean,and,12,NA
red,old,and,12,NA
red,submissive,and,12,NA
red,aggressive,and,12,NA
red,selfless,and,12,NA
red,liked,and,12,NA
red,unripe,and,12,NA
red,angry,and,12,NA
red,relaxed,and,12,NA
red,new,and,12,NA
red,slow,and,12,NA
red,fast,and,12,NA
red,jealous,and,12,NA
red,alive,and,12,NA
red,tense,and,12,NA
red,fresh,and,12,NA
red,hard,and,12,NA
red,sad,and,12,NA
red,light,and,12,NA
red,happy,and,12,NA
red,ripe,and,12,NA
red,cold,and,12,NA
red,dull,and,12,NA
red,passive,and,12,NA
red,calm,and,12,NA
"Please type the word ""one""in the box",,,12,NA
"Please type the word ""two""in the box",,,12,NA
"Please type the word ""three""in the box",,,12,NA
