r1,r2,r3,sheet_num,term
orange,hot,and,9,NA
orange,disliked,and,9,NA
orange,exciting,and,9,NA
orange,stale,and,9,NA
orange,heavy,and,9,NA
orange,active,and,9,NA
orange,soft,and,9,NA
orange,dead,and,9,NA
orange,dirty,and,9,NA
orange,clean,and,9,NA
orange,old,and,9,NA
orange,submissive,and,9,NA
orange,aggressive,and,9,NA
orange,selfless,and,9,NA
orange,liked,and,9,NA
orange,unripe,and,9,NA
orange,angry,and,9,NA
orange,relaxed,and,9,NA
orange,new,and,9,NA
orange,slow,and,9,NA
orange,fast,and,9,NA
orange,jealous,and,9,NA
orange,alive,and,9,NA
orange,tense,and,9,NA
orange,fresh,and,9,NA
orange,hard,and,9,NA
orange,sad,and,9,NA
orange,light,and,9,NA
orange,happy,and,9,NA
orange,ripe,and,9,NA
orange,cold,and,9,NA
orange,dull,and,9,NA
orange,passive,and,9,NA
orange,calm,and,9,NA
yellow,hot,and,9,NA
yellow,disliked,and,9,NA
yellow,exciting,and,9,NA
yellow,stale,and,9,NA
yellow,heavy,and,9,NA
yellow,active,and,9,NA
yellow,soft,and,9,NA
yellow,dead,and,9,NA
yellow,dirty,and,9,NA
yellow,clean,and,9,NA
yellow,old,and,9,NA
yellow,submissive,and,9,NA
yellow,aggressive,and,9,NA
yellow,selfless,and,9,NA
yellow,liked,and,9,NA
yellow,unripe,and,9,NA
yellow,angry,and,9,NA
yellow,relaxed,and,9,NA
yellow,new,and,9,NA
yellow,slow,and,9,NA
yellow,fast,and,9,NA
yellow,jealous,and,9,NA
yellow,alive,and,9,NA
yellow,tense,and,9,NA
yellow,fresh,and,9,NA
yellow,hard,and,9,NA
yellow,sad,and,9,NA
yellow,light,and,9,NA
yellow,happy,and,9,NA
yellow,ripe,and,9,NA
yellow,cold,and,9,NA
yellow,dull,and,9,NA
yellow,passive,and,9,NA
yellow,calm,and,9,NA
brown,hot,and,9,NA
brown,disliked,and,9,NA
brown,exciting,and,9,NA
brown,stale,and,9,NA
brown,heavy,and,9,NA
brown,active,and,9,NA
brown,soft,and,9,NA
brown,dead,and,9,NA
brown,dirty,and,9,NA
brown,clean,and,9,NA
brown,old,and,9,NA
brown,submissive,and,9,NA
brown,aggressive,and,9,NA
brown,selfless,and,9,NA
brown,liked,and,9,NA
brown,unripe,and,9,NA
brown,angry,and,9,NA
brown,relaxed,and,9,NA
brown,new,and,9,NA
brown,slow,and,9,NA
brown,fast,and,9,NA
brown,jealous,and,9,NA
brown,alive,and,9,NA
brown,tense,and,9,NA
brown,fresh,and,9,NA
brown,hard,and,9,NA
brown,sad,and,9,NA
brown,light,and,9,NA
brown,happy,and,9,NA
brown,ripe,and,9,NA
brown,cold,and,9,NA
brown,dull,and,9,NA
brown,passive,and,9,NA
brown,calm,and,9,NA
"Please type the word ""one""in the box",,,9,NA
"Please type the word ""two""in the box",,,9,NA
"Please type the word ""three""in the box",,,9,NA
