r1,r2,sheet_num,term
orange,submissive,6,NA
orange,jealous,6,NA
orange,sad,6,NA
orange,tense,6,NA
orange,hot,6,NA
orange,ripe,6,NA
orange,stale,6,NA
orange,slow,6,NA
orange,aggressive,6,NA
orange,clean,6,NA
orange,soft,6,NA
orange,relaxed,6,NA
orange,light,6,NA
orange,alive,6,NA
orange,dull,6,NA
orange,dead,6,NA
orange,dirty,6,NA
orange,heavy,6,NA
orange,old,6,NA
orange,disliked,6,NA
orange,happy,6,NA
orange,active,6,NA
orange,liked,6,NA
orange,hard,6,NA
orange,exciting,6,NA
orange,angry,6,NA
orange,unripe,6,NA
orange,calm,6,NA
orange,new,6,NA
orange,fresh,6,NA
orange,passive,6,NA
orange,fast,6,NA
orange,cold,6,NA
orange,selfless,6,NA
green,submissive,6,NA
green,jealous,6,NA
green,sad,6,NA
green,tense,6,NA
green,hot,6,NA
green,ripe,6,NA
green,stale,6,NA
green,slow,6,NA
green,aggressive,6,NA
green,clean,6,NA
green,soft,6,NA
green,relaxed,6,NA
green,light,6,NA
green,alive,6,NA
green,dull,6,NA
green,dead,6,NA
green,dirty,6,NA
green,heavy,6,NA
green,old,6,NA
green,disliked,6,NA
green,happy,6,NA
green,active,6,NA
green,liked,6,NA
green,hard,6,NA
green,exciting,6,NA
green,angry,6,NA
green,unripe,6,NA
green,calm,6,NA
green,new,6,NA
green,fresh,6,NA
green,passive,6,NA
green,fast,6,NA
green,cold,6,NA
green,selfless,6,NA
purple,submissive,6,NA
purple,jealous,6,NA
purple,sad,6,NA
purple,tense,6,NA
purple,hot,6,NA
purple,ripe,6,NA
purple,stale,6,NA
purple,slow,6,NA
purple,aggressive,6,NA
purple,clean,6,NA
purple,soft,6,NA
purple,relaxed,6,NA
purple,light,6,NA
purple,alive,6,NA
purple,dull,6,NA
purple,dead,6,NA
purple,dirty,6,NA
purple,heavy,6,NA
purple,old,6,NA
purple,disliked,6,NA
purple,happy,6,NA
purple,active,6,NA
purple,liked,6,NA
purple,hard,6,NA
purple,exciting,6,NA
purple,angry,6,NA
purple,unripe,6,NA
purple,calm,6,NA
purple,new,6,NA
purple,fresh,6,NA
purple,passive,6,NA
purple,fast,6,NA
purple,cold,6,NA
purple,selfless,6,NA
