r1,r2,r3,sheet_num,term
blue,hot,and,3,NA
blue,disliked,and,3,NA
blue,exciting,and,3,NA
blue,stale,and,3,NA
blue,heavy,and,3,NA
blue,active,and,3,NA
blue,soft,and,3,NA
blue,dead,and,3,NA
blue,dirty,and,3,NA
blue,clean,and,3,NA
blue,old,and,3,NA
blue,submissive,and,3,NA
blue,aggressive,and,3,NA
blue,selfless,and,3,NA
blue,liked,and,3,NA
blue,unripe,and,3,NA
blue,angry,and,3,NA
blue,relaxed,and,3,NA
blue,new,and,3,NA
blue,slow,and,3,NA
blue,fast,and,3,NA
blue,jealous,and,3,NA
blue,alive,and,3,NA
blue,tense,and,3,NA
blue,fresh,and,3,NA
blue,hard,and,3,NA
blue,sad,and,3,NA
blue,light,and,3,NA
blue,happy,and,3,NA
blue,ripe,and,3,NA
blue,cold,and,3,NA
blue,dull,and,3,NA
blue,passive,and,3,NA
blue,calm,and,3,NA
purple,hot,and,3,NA
purple,disliked,and,3,NA
purple,exciting,and,3,NA
purple,stale,and,3,NA
purple,heavy,and,3,NA
purple,active,and,3,NA
purple,soft,and,3,NA
purple,dead,and,3,NA
purple,dirty,and,3,NA
purple,clean,and,3,NA
purple,old,and,3,NA
purple,submissive,and,3,NA
purple,aggressive,and,3,NA
purple,selfless,and,3,NA
purple,liked,and,3,NA
purple,unripe,and,3,NA
purple,angry,and,3,NA
purple,relaxed,and,3,NA
purple,new,and,3,NA
purple,slow,and,3,NA
purple,fast,and,3,NA
purple,jealous,and,3,NA
purple,alive,and,3,NA
purple,tense,and,3,NA
purple,fresh,and,3,NA
purple,hard,and,3,NA
purple,sad,and,3,NA
purple,light,and,3,NA
purple,happy,and,3,NA
purple,ripe,and,3,NA
purple,cold,and,3,NA
purple,dull,and,3,NA
purple,passive,and,3,NA
purple,calm,and,3,NA
brown,hot,and,3,NA
brown,disliked,and,3,NA
brown,exciting,and,3,NA
brown,stale,and,3,NA
brown,heavy,and,3,NA
brown,active,and,3,NA
brown,soft,and,3,NA
brown,dead,and,3,NA
brown,dirty,and,3,NA
brown,clean,and,3,NA
brown,old,and,3,NA
brown,submissive,and,3,NA
brown,aggressive,and,3,NA
brown,selfless,and,3,NA
brown,liked,and,3,NA
brown,unripe,and,3,NA
brown,angry,and,3,NA
brown,relaxed,and,3,NA
brown,new,and,3,NA
brown,slow,and,3,NA
brown,fast,and,3,NA
brown,jealous,and,3,NA
brown,alive,and,3,NA
brown,tense,and,3,NA
brown,fresh,and,3,NA
brown,hard,and,3,NA
brown,sad,and,3,NA
brown,light,and,3,NA
brown,happy,and,3,NA
brown,ripe,and,3,NA
brown,cold,and,3,NA
brown,dull,and,3,NA
brown,passive,and,3,NA
brown,calm,and,3,NA
"Please type the word ""one""in the box",,,3,NA
"Please type the word ""two""in the box",,,3,NA
"Please type the word ""three""in the box",,,3,NA
