r1,r2,sheet_num,term
blue,submissive,15,NA
blue,jealous,15,NA
blue,sad,15,NA
blue,tense,15,NA
blue,hot,15,NA
blue,ripe,15,NA
blue,stale,15,NA
blue,slow,15,NA
blue,aggressive,15,NA
blue,clean,15,NA
blue,soft,15,NA
blue,relaxed,15,NA
blue,light,15,NA
blue,alive,15,NA
blue,dull,15,NA
blue,dead,15,NA
blue,dirty,15,NA
blue,heavy,15,NA
blue,old,15,NA
blue,disliked,15,NA
blue,happy,15,NA
blue,active,15,NA
blue,liked,15,NA
blue,hard,15,NA
blue,exciting,15,NA
blue,angry,15,NA
blue,unripe,15,NA
blue,calm,15,NA
blue,new,15,NA
blue,fresh,15,NA
blue,passive,15,NA
blue,fast,15,NA
blue,cold,15,NA
blue,selfless,15,NA
white,submissive,15,NA
white,jealous,15,NA
white,sad,15,NA
white,tense,15,NA
white,hot,15,NA
white,ripe,15,NA
white,stale,15,NA
white,slow,15,NA
white,aggressive,15,NA
white,clean,15,NA
white,soft,15,NA
white,relaxed,15,NA
white,light,15,NA
white,alive,15,NA
white,dull,15,NA
white,dead,15,NA
white,dirty,15,NA
white,heavy,15,NA
white,old,15,NA
white,disliked,15,NA
white,happy,15,NA
white,active,15,NA
white,liked,15,NA
white,hard,15,NA
white,exciting,15,NA
white,angry,15,NA
white,unripe,15,NA
white,calm,15,NA
white,new,15,NA
white,fresh,15,NA
white,passive,15,NA
white,fast,15,NA
white,cold,15,NA
white,selfless,15,NA
yellow,submissive,15,NA
yellow,jealous,15,NA
yellow,sad,15,NA
yellow,tense,15,NA
yellow,hot,15,NA
yellow,ripe,15,NA
yellow,stale,15,NA
yellow,slow,15,NA
yellow,aggressive,15,NA
yellow,clean,15,NA
yellow,soft,15,NA
yellow,relaxed,15,NA
yellow,light,15,NA
yellow,alive,15,NA
yellow,dull,15,NA
yellow,dead,15,NA
yellow,dirty,15,NA
yellow,heavy,15,NA
yellow,old,15,NA
yellow,disliked,15,NA
yellow,happy,15,NA
yellow,active,15,NA
yellow,liked,15,NA
yellow,hard,15,NA
yellow,exciting,15,NA
yellow,angry,15,NA
yellow,unripe,15,NA
yellow,calm,15,NA
yellow,new,15,NA
yellow,fresh,15,NA
yellow,passive,15,NA
yellow,fast,15,NA
yellow,cold,15,NA
yellow,selfless,15,NA
