r1,r2,r3,sheet_num,term
red,hot,and,13,NA
red,disliked,and,13,NA
red,exciting,and,13,NA
red,stale,and,13,NA
red,heavy,and,13,NA
red,active,and,13,NA
red,soft,and,13,NA
red,dead,and,13,NA
red,dirty,and,13,NA
red,clean,and,13,NA
red,old,and,13,NA
red,submissive,and,13,NA
red,aggressive,and,13,NA
red,selfless,and,13,NA
red,liked,and,13,NA
red,unripe,and,13,NA
red,angry,and,13,NA
red,relaxed,and,13,NA
red,new,and,13,NA
red,slow,and,13,NA
red,fast,and,13,NA
red,jealous,and,13,NA
red,alive,and,13,NA
red,tense,and,13,NA
red,fresh,and,13,NA
red,hard,and,13,NA
red,sad,and,13,NA
red,light,and,13,NA
red,happy,and,13,NA
red,ripe,and,13,NA
red,cold,and,13,NA
red,dull,and,13,NA
red,passive,and,13,NA
red,calm,and,13,NA
blue,hot,and,13,NA
blue,disliked,and,13,NA
blue,exciting,and,13,NA
blue,stale,and,13,NA
blue,heavy,and,13,NA
blue,active,and,13,NA
blue,soft,and,13,NA
blue,dead,and,13,NA
blue,dirty,and,13,NA
blue,clean,and,13,NA
blue,old,and,13,NA
blue,submissive,and,13,NA
blue,aggressive,and,13,NA
blue,selfless,and,13,NA
blue,liked,and,13,NA
blue,unripe,and,13,NA
blue,angry,and,13,NA
blue,relaxed,and,13,NA
blue,new,and,13,NA
blue,slow,and,13,NA
blue,fast,and,13,NA
blue,jealous,and,13,NA
blue,alive,and,13,NA
blue,tense,and,13,NA
blue,fresh,and,13,NA
blue,hard,and,13,NA
blue,sad,and,13,NA
blue,light,and,13,NA
blue,happy,and,13,NA
blue,ripe,and,13,NA
blue,cold,and,13,NA
blue,dull,and,13,NA
blue,passive,and,13,NA
blue,calm,and,13,NA
white,hot,and,13,NA
white,disliked,and,13,NA
white,exciting,and,13,NA
white,stale,and,13,NA
white,heavy,and,13,NA
white,active,and,13,NA
white,soft,and,13,NA
white,dead,and,13,NA
white,dirty,and,13,NA
white,clean,and,13,NA
white,old,and,13,NA
white,submissive,and,13,NA
white,aggressive,and,13,NA
white,selfless,and,13,NA
white,liked,and,13,NA
white,unripe,and,13,NA
white,angry,and,13,NA
white,relaxed,and,13,NA
white,new,and,13,NA
white,slow,and,13,NA
white,fast,and,13,NA
white,jealous,and,13,NA
white,alive,and,13,NA
white,tense,and,13,NA
white,fresh,and,13,NA
white,hard,and,13,NA
white,sad,and,13,NA
white,light,and,13,NA
white,happy,and,13,NA
white,ripe,and,13,NA
white,cold,and,13,NA
white,dull,and,13,NA
white,passive,and,13,NA
white,calm,and,13,NA
"Please type the word ""one""in the box",,,13,NA
"Please type the word ""two""in the box",,,13,NA
"Please type the word ""three""in the box",,,13,NA
