r1,r2,sheet_num
white,clean,17
white,hot,17
white,soft,17
white,happy,17
white,calm,17
white,fresh,17
white,unripe,17
white,tense,17
white,heavy,17
white,slow,17
white,dead,17
white,selfless,17
white,sad,17
white,dislike,17
white,relaxed,17
white,active,17
white,angry,17
white,jealous,17
white,new,17
white,like,17
white,alive,17
white,submissive,17
white,dull,17
white,aggressive,17
white,exciting,17
white,old,17
white,light,17
white,stale,17
white,passive,17
white,dirty,17
white,hard,17
white,fast,17
white,cold,17
white,ripe,17
yellow,clean,17
yellow,hot,17
yellow,soft,17
yellow,happy,17
yellow,calm,17
yellow,fresh,17
yellow,unripe,17
yellow,tense,17
yellow,heavy,17
yellow,slow,17
yellow,dead,17
yellow,selfless,17
yellow,sad,17
yellow,dislike,17
yellow,relaxed,17
yellow,active,17
yellow,angry,17
yellow,jealous,17
yellow,new,17
yellow,like,17
yellow,alive,17
yellow,submissive,17
yellow,dull,17
yellow,aggressive,17
yellow,exciting,17
yellow,old,17
yellow,light,17
yellow,stale,17
yellow,passive,17
yellow,dirty,17
yellow,hard,17
yellow,fast,17
yellow,cold,17
yellow,ripe,17
brown,clean,17
brown,hot,17
brown,soft,17
brown,happy,17
brown,calm,17
brown,fresh,17
brown,unripe,17
brown,tense,17
brown,heavy,17
brown,slow,17
brown,dead,17
brown,selfless,17
brown,sad,17
brown,dislike,17
brown,relaxed,17
brown,active,17
brown,angry,17
brown,jealous,17
brown,new,17
brown,like,17
brown,alive,17
brown,submissive,17
brown,dull,17
brown,aggressive,17
brown,exciting,17
brown,old,17
brown,light,17
brown,stale,17
brown,passive,17
brown,dirty,17
brown,hard,17
brown,fast,17
brown,cold,17
brown,ripe,17
