r1,r2,r3,sheet_num,term
red,hot,and,18,NA
red,disliked,and,18,NA
red,exciting,and,18,NA
red,stale,and,18,NA
red,heavy,and,18,NA
red,active,and,18,NA
red,soft,and,18,NA
red,dead,and,18,NA
red,dirty,and,18,NA
red,clean,and,18,NA
red,old,and,18,NA
red,submissive,and,18,NA
red,aggressive,and,18,NA
red,selfless,and,18,NA
red,liked,and,18,NA
red,unripe,and,18,NA
red,angry,and,18,NA
red,relaxed,and,18,NA
red,new,and,18,NA
red,slow,and,18,NA
red,fast,and,18,NA
red,jealous,and,18,NA
red,alive,and,18,NA
red,tense,and,18,NA
red,fresh,and,18,NA
red,hard,and,18,NA
red,sad,and,18,NA
red,light,and,18,NA
red,happy,and,18,NA
red,ripe,and,18,NA
red,cold,and,18,NA
red,dull,and,18,NA
red,passive,and,18,NA
red,calm,and,18,NA
brown,hot,and,18,NA
brown,disliked,and,18,NA
brown,exciting,and,18,NA
brown,stale,and,18,NA
brown,heavy,and,18,NA
brown,active,and,18,NA
brown,soft,and,18,NA
brown,dead,and,18,NA
brown,dirty,and,18,NA
brown,clean,and,18,NA
brown,old,and,18,NA
brown,submissive,and,18,NA
brown,aggressive,and,18,NA
brown,selfless,and,18,NA
brown,liked,and,18,NA
brown,unripe,and,18,NA
brown,angry,and,18,NA
brown,relaxed,and,18,NA
brown,new,and,18,NA
brown,slow,and,18,NA
brown,fast,and,18,NA
brown,jealous,and,18,NA
brown,alive,and,18,NA
brown,tense,and,18,NA
brown,fresh,and,18,NA
brown,hard,and,18,NA
brown,sad,and,18,NA
brown,light,and,18,NA
brown,happy,and,18,NA
brown,ripe,and,18,NA
brown,cold,and,18,NA
brown,dull,and,18,NA
brown,passive,and,18,NA
brown,calm,and,18,NA
green,hot,and,18,NA
green,disliked,and,18,NA
green,exciting,and,18,NA
green,stale,and,18,NA
green,heavy,and,18,NA
green,active,and,18,NA
green,soft,and,18,NA
green,dead,and,18,NA
green,dirty,and,18,NA
green,clean,and,18,NA
green,old,and,18,NA
green,submissive,and,18,NA
green,aggressive,and,18,NA
green,selfless,and,18,NA
green,liked,and,18,NA
green,unripe,and,18,NA
green,angry,and,18,NA
green,relaxed,and,18,NA
green,new,and,18,NA
green,slow,and,18,NA
green,fast,and,18,NA
green,jealous,and,18,NA
green,alive,and,18,NA
green,tense,and,18,NA
green,fresh,and,18,NA
green,hard,and,18,NA
green,sad,and,18,NA
green,light,and,18,NA
green,happy,and,18,NA
green,ripe,and,18,NA
green,cold,and,18,NA
green,dull,and,18,NA
green,passive,and,18,NA
green,calm,and,18,NA
"Please type the word ""one""in the box",,,18,NA
"Please type the word ""two""in the box",,,18,NA
"Please type the word ""three""in the box",,,18,NA
