r1,r2,r3,sheet_num,term
yellow,hot,and,8,NA
yellow,disliked,and,8,NA
yellow,exciting,and,8,NA
yellow,stale,and,8,NA
yellow,heavy,and,8,NA
yellow,active,and,8,NA
yellow,soft,and,8,NA
yellow,dead,and,8,NA
yellow,dirty,and,8,NA
yellow,clean,and,8,NA
yellow,old,and,8,NA
yellow,submissive,and,8,NA
yellow,aggressive,and,8,NA
yellow,selfless,and,8,NA
yellow,liked,and,8,NA
yellow,unripe,and,8,NA
yellow,angry,and,8,NA
yellow,relaxed,and,8,NA
yellow,new,and,8,NA
yellow,slow,and,8,NA
yellow,fast,and,8,NA
yellow,jealous,and,8,NA
yellow,alive,and,8,NA
yellow,tense,and,8,NA
yellow,fresh,and,8,NA
yellow,hard,and,8,NA
yellow,sad,and,8,NA
yellow,light,and,8,NA
yellow,happy,and,8,NA
yellow,ripe,and,8,NA
yellow,cold,and,8,NA
yellow,dull,and,8,NA
yellow,passive,and,8,NA
yellow,calm,and,8,NA
purple,hot,and,8,NA
purple,disliked,and,8,NA
purple,exciting,and,8,NA
purple,stale,and,8,NA
purple,heavy,and,8,NA
purple,active,and,8,NA
purple,soft,and,8,NA
purple,dead,and,8,NA
purple,dirty,and,8,NA
purple,clean,and,8,NA
purple,old,and,8,NA
purple,submissive,and,8,NA
purple,aggressive,and,8,NA
purple,selfless,and,8,NA
purple,liked,and,8,NA
purple,unripe,and,8,NA
purple,angry,and,8,NA
purple,relaxed,and,8,NA
purple,new,and,8,NA
purple,slow,and,8,NA
purple,fast,and,8,NA
purple,jealous,and,8,NA
purple,alive,and,8,NA
purple,tense,and,8,NA
purple,fresh,and,8,NA
purple,hard,and,8,NA
purple,sad,and,8,NA
purple,light,and,8,NA
purple,happy,and,8,NA
purple,ripe,and,8,NA
purple,cold,and,8,NA
purple,dull,and,8,NA
purple,passive,and,8,NA
purple,calm,and,8,NA
orange,hot,and,8,NA
orange,disliked,and,8,NA
orange,exciting,and,8,NA
orange,stale,and,8,NA
orange,heavy,and,8,NA
orange,active,and,8,NA
orange,soft,and,8,NA
orange,dead,and,8,NA
orange,dirty,and,8,NA
orange,clean,and,8,NA
orange,old,and,8,NA
orange,submissive,and,8,NA
orange,aggressive,and,8,NA
orange,selfless,and,8,NA
orange,liked,and,8,NA
orange,unripe,and,8,NA
orange,angry,and,8,NA
orange,relaxed,and,8,NA
orange,new,and,8,NA
orange,slow,and,8,NA
orange,fast,and,8,NA
orange,jealous,and,8,NA
orange,alive,and,8,NA
orange,tense,and,8,NA
orange,fresh,and,8,NA
orange,hard,and,8,NA
orange,sad,and,8,NA
orange,light,and,8,NA
orange,happy,and,8,NA
orange,ripe,and,8,NA
orange,cold,and,8,NA
orange,dull,and,8,NA
orange,passive,and,8,NA
orange,calm,and,8,NA
"Please type the word ""one""in the box",,,8,NA
"Please type the word ""two""in the box",,,8,NA
"Please type the word ""three""in the box",,,8,NA
