r1,r2,sheet_num,term
blue,submissive,4,NA
blue,jealous,4,NA
blue,sad,4,NA
blue,tense,4,NA
blue,hot,4,NA
blue,ripe,4,NA
blue,stale,4,NA
blue,slow,4,NA
blue,aggressive,4,NA
blue,clean,4,NA
blue,soft,4,NA
blue,relaxed,4,NA
blue,light,4,NA
blue,alive,4,NA
blue,dull,4,NA
blue,dead,4,NA
blue,dirty,4,NA
blue,heavy,4,NA
blue,old,4,NA
blue,disliked,4,NA
blue,happy,4,NA
blue,active,4,NA
blue,liked,4,NA
blue,hard,4,NA
blue,exciting,4,NA
blue,angry,4,NA
blue,unripe,4,NA
blue,calm,4,NA
blue,new,4,NA
blue,fresh,4,NA
blue,passive,4,NA
blue,fast,4,NA
blue,cold,4,NA
blue,selfless,4,NA
purple,submissive,4,NA
purple,jealous,4,NA
purple,sad,4,NA
purple,tense,4,NA
purple,hot,4,NA
purple,ripe,4,NA
purple,stale,4,NA
purple,slow,4,NA
purple,aggressive,4,NA
purple,clean,4,NA
purple,soft,4,NA
purple,relaxed,4,NA
purple,light,4,NA
purple,alive,4,NA
purple,dull,4,NA
purple,dead,4,NA
purple,dirty,4,NA
purple,heavy,4,NA
purple,old,4,NA
purple,disliked,4,NA
purple,happy,4,NA
purple,active,4,NA
purple,liked,4,NA
purple,hard,4,NA
purple,exciting,4,NA
purple,angry,4,NA
purple,unripe,4,NA
purple,calm,4,NA
purple,new,4,NA
purple,fresh,4,NA
purple,passive,4,NA
purple,fast,4,NA
purple,cold,4,NA
purple,selfless,4,NA
black,submissive,4,NA
black,jealous,4,NA
black,sad,4,NA
black,tense,4,NA
black,hot,4,NA
black,ripe,4,NA
black,stale,4,NA
black,slow,4,NA
black,aggressive,4,NA
black,clean,4,NA
black,soft,4,NA
black,relaxed,4,NA
black,light,4,NA
black,alive,4,NA
black,dull,4,NA
black,dead,4,NA
black,dirty,4,NA
black,heavy,4,NA
black,old,4,NA
black,disliked,4,NA
black,happy,4,NA
black,active,4,NA
black,liked,4,NA
black,hard,4,NA
black,exciting,4,NA
black,angry,4,NA
black,unripe,4,NA
black,calm,4,NA
black,new,4,NA
black,fresh,4,NA
black,passive,4,NA
black,fast,4,NA
black,cold,4,NA
black,selfless,4,NA
