r1,r2,sheet_num,term
blue,submissive,28,NA
blue,jealous,28,NA
blue,sad,28,NA
blue,tense,28,NA
blue,hot,28,NA
blue,ripe,28,NA
blue,stale,28,NA
blue,slow,28,NA
blue,aggressive,28,NA
blue,clean,28,NA
blue,soft,28,NA
blue,relaxed,28,NA
blue,light,28,NA
blue,alive,28,NA
blue,dull,28,NA
blue,dead,28,NA
blue,dirty,28,NA
blue,heavy,28,NA
blue,old,28,NA
blue,disliked,28,NA
blue,happy,28,NA
blue,active,28,NA
blue,liked,28,NA
blue,hard,28,NA
blue,exciting,28,NA
blue,angry,28,NA
blue,unripe,28,NA
blue,calm,28,NA
blue,new,28,NA
blue,fresh,28,NA
blue,passive,28,NA
blue,fast,28,NA
blue,cold,28,NA
blue,selfless,28,NA
orange,submissive,28,NA
orange,jealous,28,NA
orange,sad,28,NA
orange,tense,28,NA
orange,hot,28,NA
orange,ripe,28,NA
orange,stale,28,NA
orange,slow,28,NA
orange,aggressive,28,NA
orange,clean,28,NA
orange,soft,28,NA
orange,relaxed,28,NA
orange,light,28,NA
orange,alive,28,NA
orange,dull,28,NA
orange,dead,28,NA
orange,dirty,28,NA
orange,heavy,28,NA
orange,old,28,NA
orange,disliked,28,NA
orange,happy,28,NA
orange,active,28,NA
orange,liked,28,NA
orange,hard,28,NA
orange,exciting,28,NA
orange,angry,28,NA
orange,unripe,28,NA
orange,calm,28,NA
orange,new,28,NA
orange,fresh,28,NA
orange,passive,28,NA
orange,fast,28,NA
orange,cold,28,NA
orange,selfless,28,NA
purple,submissive,28,NA
purple,jealous,28,NA
purple,sad,28,NA
purple,tense,28,NA
purple,hot,28,NA
purple,ripe,28,NA
purple,stale,28,NA
purple,slow,28,NA
purple,aggressive,28,NA
purple,clean,28,NA
purple,soft,28,NA
purple,relaxed,28,NA
purple,light,28,NA
purple,alive,28,NA
purple,dull,28,NA
purple,dead,28,NA
purple,dirty,28,NA
purple,heavy,28,NA
purple,old,28,NA
purple,disliked,28,NA
purple,happy,28,NA
purple,active,28,NA
purple,liked,28,NA
purple,hard,28,NA
purple,exciting,28,NA
purple,angry,28,NA
purple,unripe,28,NA
purple,calm,28,NA
purple,new,28,NA
purple,fresh,28,NA
purple,passive,28,NA
purple,fast,28,NA
purple,cold,28,NA
purple,selfless,28,NA
