r1,r2,r3,sheet_num,term
white,hot,and,25,NA
white,disliked,and,25,NA
white,exciting,and,25,NA
white,stale,and,25,NA
white,heavy,and,25,NA
white,active,and,25,NA
white,soft,and,25,NA
white,dead,and,25,NA
white,dirty,and,25,NA
white,clean,and,25,NA
white,old,and,25,NA
white,submissive,and,25,NA
white,aggressive,and,25,NA
white,selfless,and,25,NA
white,liked,and,25,NA
white,unripe,and,25,NA
white,angry,and,25,NA
white,relaxed,and,25,NA
white,new,and,25,NA
white,slow,and,25,NA
white,fast,and,25,NA
white,jealous,and,25,NA
white,alive,and,25,NA
white,tense,and,25,NA
white,fresh,and,25,NA
white,hard,and,25,NA
white,sad,and,25,NA
white,light,and,25,NA
white,happy,and,25,NA
white,ripe,and,25,NA
white,cold,and,25,NA
white,dull,and,25,NA
white,passive,and,25,NA
white,calm,and,25,NA
brown,hot,and,25,NA
brown,disliked,and,25,NA
brown,exciting,and,25,NA
brown,stale,and,25,NA
brown,heavy,and,25,NA
brown,active,and,25,NA
brown,soft,and,25,NA
brown,dead,and,25,NA
brown,dirty,and,25,NA
brown,clean,and,25,NA
brown,old,and,25,NA
brown,submissive,and,25,NA
brown,aggressive,and,25,NA
brown,selfless,and,25,NA
brown,liked,and,25,NA
brown,unripe,and,25,NA
brown,angry,and,25,NA
brown,relaxed,and,25,NA
brown,new,and,25,NA
brown,slow,and,25,NA
brown,fast,and,25,NA
brown,jealous,and,25,NA
brown,alive,and,25,NA
brown,tense,and,25,NA
brown,fresh,and,25,NA
brown,hard,and,25,NA
brown,sad,and,25,NA
brown,light,and,25,NA
brown,happy,and,25,NA
brown,ripe,and,25,NA
brown,cold,and,25,NA
brown,dull,and,25,NA
brown,passive,and,25,NA
brown,calm,and,25,NA
green,hot,and,25,NA
green,disliked,and,25,NA
green,exciting,and,25,NA
green,stale,and,25,NA
green,heavy,and,25,NA
green,active,and,25,NA
green,soft,and,25,NA
green,dead,and,25,NA
green,dirty,and,25,NA
green,clean,and,25,NA
green,old,and,25,NA
green,submissive,and,25,NA
green,aggressive,and,25,NA
green,selfless,and,25,NA
green,liked,and,25,NA
green,unripe,and,25,NA
green,angry,and,25,NA
green,relaxed,and,25,NA
green,new,and,25,NA
green,slow,and,25,NA
green,fast,and,25,NA
green,jealous,and,25,NA
green,alive,and,25,NA
green,tense,and,25,NA
green,fresh,and,25,NA
green,hard,and,25,NA
green,sad,and,25,NA
green,light,and,25,NA
green,happy,and,25,NA
green,ripe,and,25,NA
green,cold,and,25,NA
green,dull,and,25,NA
green,passive,and,25,NA
green,calm,and,25,NA
"Please type the word ""one""in the box",,,25,NA
"Please type the word ""two""in the box",,,25,NA
"Please type the word ""three""in the box",,,25,NA
