r1,r2,r3,sheet_num,term
green,hot,and,23,NA
green,disliked,and,23,NA
green,exciting,and,23,NA
green,stale,and,23,NA
green,heavy,and,23,NA
green,active,and,23,NA
green,soft,and,23,NA
green,dead,and,23,NA
green,dirty,and,23,NA
green,clean,and,23,NA
green,old,and,23,NA
green,submissive,and,23,NA
green,aggressive,and,23,NA
green,selfless,and,23,NA
green,liked,and,23,NA
green,unripe,and,23,NA
green,angry,and,23,NA
green,relaxed,and,23,NA
green,new,and,23,NA
green,slow,and,23,NA
green,fast,and,23,NA
green,jealous,and,23,NA
green,alive,and,23,NA
green,tense,and,23,NA
green,fresh,and,23,NA
green,hard,and,23,NA
green,sad,and,23,NA
green,light,and,23,NA
green,happy,and,23,NA
green,ripe,and,23,NA
green,cold,and,23,NA
green,dull,and,23,NA
green,passive,and,23,NA
green,calm,and,23,NA
white,hot,and,23,NA
white,disliked,and,23,NA
white,exciting,and,23,NA
white,stale,and,23,NA
white,heavy,and,23,NA
white,active,and,23,NA
white,soft,and,23,NA
white,dead,and,23,NA
white,dirty,and,23,NA
white,clean,and,23,NA
white,old,and,23,NA
white,submissive,and,23,NA
white,aggressive,and,23,NA
white,selfless,and,23,NA
white,liked,and,23,NA
white,unripe,and,23,NA
white,angry,and,23,NA
white,relaxed,and,23,NA
white,new,and,23,NA
white,slow,and,23,NA
white,fast,and,23,NA
white,jealous,and,23,NA
white,alive,and,23,NA
white,tense,and,23,NA
white,fresh,and,23,NA
white,hard,and,23,NA
white,sad,and,23,NA
white,light,and,23,NA
white,happy,and,23,NA
white,ripe,and,23,NA
white,cold,and,23,NA
white,dull,and,23,NA
white,passive,and,23,NA
white,calm,and,23,NA
purple,hot,and,23,NA
purple,disliked,and,23,NA
purple,exciting,and,23,NA
purple,stale,and,23,NA
purple,heavy,and,23,NA
purple,active,and,23,NA
purple,soft,and,23,NA
purple,dead,and,23,NA
purple,dirty,and,23,NA
purple,clean,and,23,NA
purple,old,and,23,NA
purple,submissive,and,23,NA
purple,aggressive,and,23,NA
purple,selfless,and,23,NA
purple,liked,and,23,NA
purple,unripe,and,23,NA
purple,angry,and,23,NA
purple,relaxed,and,23,NA
purple,new,and,23,NA
purple,slow,and,23,NA
purple,fast,and,23,NA
purple,jealous,and,23,NA
purple,alive,and,23,NA
purple,tense,and,23,NA
purple,fresh,and,23,NA
purple,hard,and,23,NA
purple,sad,and,23,NA
purple,light,and,23,NA
purple,happy,and,23,NA
purple,ripe,and,23,NA
purple,cold,and,23,NA
purple,dull,and,23,NA
purple,passive,and,23,NA
purple,calm,and,23,NA
"Please type the word ""one""in the box",,,23,NA
"Please type the word ""two""in the box",,,23,NA
"Please type the word ""three""in the box",,,23,NA
