r1,r2,sheet_num,term
white,dislike,21,NA
white,dirty,21,NA
white,tense,21,NA
white,happy,21,NA
white,light,21,NA
white,alive,21,NA
white,exciting,21,NA
white,relaxed,21,NA
white,fast,21,NA
white,fresh,21,NA
white,unripe,21,NA
white,angry,21,NA
white,soft,21,NA
white,jealous,21,NA
white,old,21,NA
white,hot,21,NA
white,sad,21,NA
white,ripe,21,NA
white,slow,21,NA
white,dull,21,NA
white,cold,21,NA
white,passive,21,NA
white,heavy,21,NA
white,submissive,21,NA
white,stale,21,NA
white,aggressive,21,NA
white,active,21,NA
white,calm,21,NA
white,clean,21,NA
white,new,21,NA
white,dead,21,NA
white,hard,21,NA
white,like,21,NA
white,selfless,21,NA
brown,dislike,21,NA
brown,dirty,21,NA
brown,tense,21,NA
brown,happy,21,NA
brown,light,21,NA
brown,alive,21,NA
brown,exciting,21,NA
brown,relaxed,21,NA
brown,fast,21,NA
brown,fresh,21,NA
brown,unripe,21,NA
brown,angry,21,NA
brown,soft,21,NA
brown,jealous,21,NA
brown,old,21,NA
brown,hot,21,NA
brown,sad,21,NA
brown,ripe,21,NA
brown,slow,21,NA
brown,dull,21,NA
brown,cold,21,NA
brown,passive,21,NA
brown,heavy,21,NA
brown,submissive,21,NA
brown,stale,21,NA
brown,aggressive,21,NA
brown,active,21,NA
brown,calm,21,NA
brown,clean,21,NA
brown,new,21,NA
brown,dead,21,NA
brown,hard,21,NA
brown,like,21,NA
brown,selfless,21,NA
yellow,dislike,21,NA
yellow,dirty,21,NA
yellow,tense,21,NA
yellow,happy,21,NA
yellow,light,21,NA
yellow,alive,21,NA
yellow,exciting,21,NA
yellow,relaxed,21,NA
yellow,fast,21,NA
yellow,fresh,21,NA
yellow,unripe,21,NA
yellow,angry,21,NA
yellow,soft,21,NA
yellow,jealous,21,NA
yellow,old,21,NA
yellow,hot,21,NA
yellow,sad,21,NA
yellow,ripe,21,NA
yellow,slow,21,NA
yellow,dull,21,NA
yellow,cold,21,NA
yellow,passive,21,NA
yellow,heavy,21,NA
yellow,submissive,21,NA
yellow,stale,21,NA
yellow,aggressive,21,NA
yellow,active,21,NA
yellow,calm,21,NA
yellow,clean,21,NA
yellow,new,21,NA
yellow,dead,21,NA
yellow,hard,21,NA
yellow,like,21,NA
yellow,selfless,21,NA
