r1,r2,r3,sheet_num,term
brown,hot,and,1,NA
brown,disliked,and,1,NA
brown,exciting,and,1,NA
brown,stale,and,1,NA
brown,heavy,and,1,NA
brown,active,and,1,NA
brown,soft,and,1,NA
brown,dead,and,1,NA
brown,dirty,and,1,NA
brown,clean,and,1,NA
brown,old,and,1,NA
brown,submissive,and,1,NA
brown,aggressive,and,1,NA
brown,selfless,and,1,NA
brown,liked,and,1,NA
brown,unripe,and,1,NA
brown,angry,and,1,NA
brown,relaxed,and,1,NA
brown,new,and,1,NA
brown,slow,and,1,NA
brown,fast,and,1,NA
brown,jealous,and,1,NA
brown,alive,and,1,NA
brown,tense,and,1,NA
brown,fresh,and,1,NA
brown,hard,and,1,NA
brown,sad,and,1,NA
brown,light,and,1,NA
brown,happy,and,1,NA
brown,ripe,and,1,NA
brown,cold,and,1,NA
brown,dull,and,1,NA
brown,passive,and,1,NA
brown,calm,and,1,NA
yellow,hot,and,1,NA
yellow,disliked,and,1,NA
yellow,exciting,and,1,NA
yellow,stale,and,1,NA
yellow,heavy,and,1,NA
yellow,active,and,1,NA
yellow,soft,and,1,NA
yellow,dead,and,1,NA
yellow,dirty,and,1,NA
yellow,clean,and,1,NA
yellow,old,and,1,NA
yellow,submissive,and,1,NA
yellow,aggressive,and,1,NA
yellow,selfless,and,1,NA
yellow,liked,and,1,NA
yellow,unripe,and,1,NA
yellow,angry,and,1,NA
yellow,relaxed,and,1,NA
yellow,new,and,1,NA
yellow,slow,and,1,NA
yellow,fast,and,1,NA
yellow,jealous,and,1,NA
yellow,alive,and,1,NA
yellow,tense,and,1,NA
yellow,fresh,and,1,NA
yellow,hard,and,1,NA
yellow,sad,and,1,NA
yellow,light,and,1,NA
yellow,happy,and,1,NA
yellow,ripe,and,1,NA
yellow,cold,and,1,NA
yellow,dull,and,1,NA
yellow,passive,and,1,NA
yellow,calm,and,1,NA
white,hot,and,1,NA
white,disliked,and,1,NA
white,exciting,and,1,NA
white,stale,and,1,NA
white,heavy,and,1,NA
white,active,and,1,NA
white,soft,and,1,NA
white,dead,and,1,NA
white,dirty,and,1,NA
white,clean,and,1,NA
white,old,and,1,NA
white,submissive,and,1,NA
white,aggressive,and,1,NA
white,selfless,and,1,NA
white,liked,and,1,NA
white,unripe,and,1,NA
white,angry,and,1,NA
white,relaxed,and,1,NA
white,new,and,1,NA
white,slow,and,1,NA
white,fast,and,1,NA
white,jealous,and,1,NA
white,alive,and,1,NA
white,tense,and,1,NA
white,fresh,and,1,NA
white,hard,and,1,NA
white,sad,and,1,NA
white,light,and,1,NA
white,happy,and,1,NA
white,ripe,and,1,NA
white,cold,and,1,NA
white,dull,and,1,NA
white,passive,and,1,NA
white,calm,and,1,NA
"Please type the word ""one""in the box",,,1,NA
"Please type the word ""two""in the box",,,1,NA
"Please type the word ""three""in the box",,,1,NA
